,GEM plant ID,Plant name (English),Plant name (other language),Other plant names (English),Other plant names (other language),Owner,Owner (other language),Owner GEM entity ID,Owner PermID,SOE status,Parent (English),Parent GEM entity ID,Parent PermID,Location address,Location address (other language),Municipality,Subnational unit,Country/area,Region,Coordinates,Coordinate accuracy,GEM wiki page,Plant age,Announced date,Construction date,Start date,Pre-retirement announcement date,Idled date,Retired date,Ferronickel capacity (ttpa),Sinter plant capacity (ttpa),Coking plant capacity (ttpa),Pelletizing plant capacity (ttpa),Category steel product,Steel products,Steel sector end users,Workforce size,ISO 14001,ISO 50001,ResponsibleSteel certification,Main production equipment,Power source,Iron ore source,Met coal source,latitude,longitude,Plant age (years),total_capacity,Lat,Lon,geometry
973,P100000121151,Shanxi Meijin Iron and Steel Co Ltd Yuanping City,美锦钢铁公司,Meijin Steel Company,山西美锦钢铁有限公司,Shanxi Meijin Iron and Steel Co Ltd,山西美锦钢铁有限公司,E100000126886,unknown,,Meijin Energy Group Co Ltd [50.0%]; China New Energy Group Ltd [48.0%]; unknown [2.0%],E100000123821 [50.0%]; E100001010236 [48.0%]; E100000132388 [2.0%],5000490664 [50.0%]; unknown [48.0%]; unknown [2.0%],"Yuanping City, Shanxi Province",山西省原平市,Taiyuan,Shanxi,China,Asia Pacific,"38.7393000, 112.6890860",approximate,https://www.gem.wiki/Shanxi_Meijin_Iron_and_Steel_Co_Ltd_Yuanping_City,unknown,2021-05-01 00:00:00,unknown,unknown,unknown,unknown,unknown,,,,1200.0,finished rolled,"rod, coil, wire rod","building and infrastructure, tools and machinery",unknown,unknown,unknown,no,BF; BOF,unknown,unknown,unknown,38.7393,112.689086,,1200.0,38.7393000,112.6890860,POINT (112.689086 38.7393)
979,P100000120259,Shanxi Zhongyang Iron and Steel Co Ltd,山西中阳钢铁有限公司,,,Shanxi Zhongyang Iron & Steel Co Ltd,山西中阳钢铁有限公司,E100000122988,unknown,,Shanxi Zhongyang Iron & Steel Co Ltd [100.0%],E100000122988 [100.0%],unknown [100.0%],Northern Suburb of Zhongyang County,山西省吕梁市中阳县城北郊,Lvliang,Shanxi,China,Asia Pacific,"37.3707960, 111.1611180",exact,https://www.gem.wiki/Shanxi_Zhongyang_Iron_and_Steel_Co_Ltd,20.28,unknown,unknown,2005-11-10 00:00:00,unknown,unknown,unknown,,,1000.0,,finished rolled,"tube, rebar",unknown,7019,2025-07-28 00:00:00,2025-08-23 00:00:00,no,BF; BOF,unknown,unknown,unknown,37.370796,111.161118,20.28,1000.0,37.3707960,111.1611180,POINT (111.161118 37.370796)
983,P100000120246,Shiheng Special Steel Group Co Ltd,石横特钢集团有限公司,"Shandong Shiheng Special Steel Group Co., Ltd., Shandong Shiheng Special Steel Co., Ltd.",山东石横特钢集团有限公司,Shiheng SPECIAL Steel Group Co Ltd,石横特钢集团有限公司,E100000123204,unknown,,Shiheng Special Steel Holding Group Co Ltd [54.7%]; Hong Kong Wing Tai Holdings [22.0%]; unknown [15.9%]; Trade Union Committee of Shiheng Special Steel Group [7.4%],E100000124166 [54.7%]; E100000126043 [22.0%]; E100000132388 [15.9%]; E100000126042 [7.4%],unknown [54.7%]; unknown [22.0%]; unknown [15.9%]; unknown [7.4%],unknown,山东省泰安市肥城市石横镇,Shiheng,Shandong,China,Asia Pacific,"36.2292010, 116.5339810",exact,https://www.gem.wiki/Shiheng_Special_Steel_Group_Co_Ltd,25.15,unknown,unknown,2000-12-27 00:00:00,unknown,unknown,unknown,,,1000.0,,finished rolled,"rounds, profile","automotive, building and infrastructure, tools and machinery",7337,2023-12-28 00:00:00,2024-12-02 00:00:00,no,BF; BOF,unknown,unknown,unknown,36.229201,116.533981,25.15,1000.0,36.2292010,116.5339810,POINT (116.533981 36.229201)
997,P100000121192,Shri Bajrang Power & Ispat Tilda steel plant,,SBPIL,,Shri Bajrang Power and Ispat Ltd,,E100001012214,4298361778,,Banka Finance & Securities Pvt Ltd [15.9%]; Atlanta Securities Pvt Ltd [15.6%]; natural person(s) [6.3%]; Sukanya Merchandise Pvt Ltd [5.5%]; Bonus Dealcom Pvt Ltd [5.5%],E100001012215 [15.9%]; E100001012216 [15.6%]; E100000123261 [6.3%]; E100001012218 [5.5%]; E100001012219 [5.5%],unknown [15.9%]; 5035517336 [15.6%]; unknown [6.3%]; unknown [5.5%]; 5085422296 [5.5%],"Kh. No. 521/44, Village- Tandwa, Dharsiwa-Tilda Road, Tehsil- Tilda, Raipur (C.G.), 493116",,Tilda,Chhattisgarh,India,Asia Pacific,"21.4861900, 81.7716970",exact,https://www.gem.wiki/Shri_Bajrang_Power_&_Ispat_Tilda_steel_plant,13,2010,unknown,2013,unknown,unknown,unknown,,1000.0,500.0,1400.0,semi-finished,"coil, plate",unknown,unknown,yes,unknown,no,DRI; Steel other/unspecified; BF; BOF,100 MW Captive Power Plant,unknown,South Eastern Coal Field Limited,21.48619,81.771697,13.0,2900.0,21.4861900,81.7716970,POINT (81.771697 21.48619)
998,P100000121183,Shyam Metalics Jamuria steel plant,,,,Shyam Metalics and Energy Ltd,,E100001012152,5000933245,,Shyam Metalics and Energy Ltd [100.0%],E100001012152 [100.0%],5000933245 [100.0%],"Jamuria, West Bengal, India",,Jamuria,West Bengal,India,Asia Pacific,"23.6937490, 87.1227110",exact,https://www.gem.wiki/Shyam_Metalics_Jamuria_steel_plant,13,unknown,unknown,2013,unknown,unknown,unknown,,1110.0,,3000.0,"crude, semi-finished","pellets, rod, bar, billet, DRI",unknown,unknown,yes,unknown,no,BF; DRI; IF; EAF,94 MW Captive Power plant,"Barbil, Odisha",Central Coalfields Limited,23.693749,87.122711,13.0,4110.0,23.6937490,87.1227110,POINT (87.122711 23.693749)
999,P100000121184,Shyam Metalics Sambalpur steel plant,,,,Shyam Metalics and Energy Ltd,,E100001012152,5000933245,,Shyam Metalics and Energy Ltd [100.0%],E100001012152 [100.0%],5000933245 [100.0%],"Pandoli, Rengali, Sambalpur - 768212 Odisha, India",,Pandoli,Odisha,India,Asia Pacific,"21.6803440, 84.0417900",exact,https://www.gem.wiki/Shyam_Metalics_Sambalpur_steel_plant,20,unknown,unknown,2006,unknown,unknown,unknown,,,,3000.0,"crude, semi-finished","pellets, rod, bar, billet, DRI","automotive, building and infrastructure",3060,yes,unknown,no,DRI; IF; EAF; BF,118 MW Captive power plant,Kandahar mines and Gandhamardan mines,Talcher,21.680344,84.04179,20.0,3000.0,21.6803440,84.0417900,POINT (84.04179 21.680344)
1001,P100000121181,Shyam Steel Raghunathpur steel plant,,"JSK-II, Shyam Steel Purulia",,Shyam Steel Industries Ltd,,E100000130859,4298177772,,Shyam Steel Industries Ltd [100.0%],E100000130859 [100.0%],4298177772 [100.0%],"Raghunathpur Steel & Allied Industrial Park-II, Mouza - Lachhmanpur, Jarukhamar, Siulibari, Digardhi, Shikratyar, Senera Block – Raghunathpur-I, District- Purulia, West Bengal, India",,Raghunathpur,West Bengal,India,Asia Pacific,"23.5902120, 86.7246030",approximate,https://www.gem.wiki/Shyam_Steel_Raghunathpur_steel_plant,2,2021,unknown,2024,unknown,unknown,unknown,,1092.0,500.0,1200.0,semi-finished,"angle, bar",unknown,8000,unknown,unknown,no,DRI; IF; BF; BOF; EAF,57.5 MW WHRB from DRI and Coke Oven; 15 MW CFBC Boiler,"Odisha, Jharkhand, Chhattisgarh","Jharkhand, Odisha, West Bengal, and Imprted",23.590212,86.724603,2.0,2792.0,23.5902120,86.7246030,POINT (86.724603 23.590212)
1005,P100000120377,Sichuan Dazhou Iron and Steel Group Co Ltd,四川省达州钢铁集团有限责任公司,,,Sichuan Dazhou Iron & Steel Group Co Ltd,四川省达州钢铁集团有限责任公司,E100000126249,unknown,,Beijing Fangda International Industrial Investment Group Co Ltd [69.3%]; unknown [24.6%]; China Cinda Asset Management Co Ltd [6.1%],E100000128862 [69.3%]; E100000132388 [24.6%]; E100000123329 [6.1%],unknown [69.3%]; unknown [24.6%]; unknown [6.1%],"No. 25, Xihe Road",四川省达州市通川区西河路25号,unknown,Sichuan,China,Asia Pacific,"31.1894500, 107.4530990",exact,https://www.gem.wiki/Sichuan_Dazhou_Iron_and_Steel_Group_Co_Ltd,28.89,unknown,unknown,1997-04-01 00:00:00,unknown,unknown,unknown,,4300.0,2100.0,,finished rolled,"wire rod, rounds, rebar, hot rolled",unknown,3854,2023-11-02 00:00:00,expired,no,BF; BOF,unknown,unknown,unknown,31.18945,107.453099,28.89,6400.0,31.1894500,107.4530990,POINT (107.453099 31.18945)
1006,P100000120075,Sichuan Desheng Group Vanadium and Titanium Co Ltd,四川德胜集团钒钛有限公司,"Sichuan Desheng Group Steel Co., Ltd.",四川德胜集团钢铁有限公司,"Sichuan De Sheng Group, Vanadium and Titanium Co Ltd",四川德胜集团钒钛有限公司,E100000126458,unknown,,Haojun Development Group Co Ltd [49.0%]; natural person(s) [26.8%]; Yunnan Desheng Steel Co Ltd [14.0%]; Yunnan Desheng Logistics Co Ltd [10.2%],E100000128691 [49.0%]; E100000123261 [26.8%]; E100000126976 [14.0%]; E100000127448 [10.2%],unknown [49.0%]; unknown [26.8%]; unknown [14.0%]; unknown [10.2%],"No. 8 Tonghe Road South Section, Shawan District, Leshan City, Sichuan Province",四川省乐山市沙湾区铜河路南段8号,Leshan,Chongqing,China,Asia Pacific,"29.3979800, 103.5425320",exact,https://www.gem.wiki/Sichuan_Desheng_Group_Vanadium_and_Titanium_Co_Ltd,29,unknown,unknown,1997,unknown,unknown,unknown,,2800.0,,,finished rolled,"round bar, bar",unknown,3309,2023-05-29 00:00:00,no,no,BF; BOF,Waste heat and gas double super power generation,unknown,unknown,29.39798,103.542532,29.0,2800.0,29.3979800,103.5425320,POINT (103.542532 29.39798)
1014,P100000120440,Sider El Hadjar Annaba steel plant,مركب الحجار للحديد والصلب,"ArcelorMittal Annaba (predecessor), El Hadjar Iron and Steel Complex (predecessor), Sider Algeria S.p.A. (predecessor)",,Groupe Industriel Sider SpA,,E100001000960,5000941519,Full,Groupe Industriel Sider SpA [100.0%],E100001000960 [100.0%],5000941519 [100.0%],"El-Hadjar Complex, Commune Sidi Amar, Daira El Hadjar, BP 2055 Annaba, Algeria",,Sidi Amar,Annaba,Algeria,Africa,"36.7959240, 7.7076330",exact,https://www.gem.wiki/Sider_El_Hadjar_Annaba_steel_plant,57,1964,unknown,1969,unknown,unknown,unknown,,,1200.0,,"semi-finished, finished rolled","coil, rebar, sheet",unknown,5748,unknown,unknown,no,DRI; EAF; BF; BOF,unknown,unknown,Russia,36.795924,7.707633,57.0,1200.0,36.7959240,7.7076330,POINT (7.707633 36.795924)
1015,P100000121004,Sidor Ciudad Guayana steel plant,Siderúrgica Sidor,Siderúrgica del Orinoco,,Siderurgica del Orinoco Alfredo Maneiro CA,,E100000130923,5000051649,Full,Siderurgica del Orinoco Alfredo Maneiro CA [100.0%],E100000130923 [100.0%],5000051649 [100.0%],"Puerto Ordaz, Guayana City, Bolívar, Venezuela",,Guayana City,Bolívar,Venezuela,Central & South America,"8.2590730, -62.8411260",exact,https://www.gem.wiki/Sidor_Ciudad_Guayana_steel_plant,64,unknown,unknown,1962,unknown,unknown,unknown,,,,1825.0,"crude, semi-finished, finished rolled","tinplate, ingot, wire rod, rebar, sheet, bar, cold rolled, billet, hot rolled, slab","automotive, building and infrastructure, energy, steel packaging, tools and machinery, transport",12676,unknown,unknown,no,DRI; EAF,unknown,unknown,unknown,8.259073,-62.841126,64.0,1825.0,8.2590730,-62.8411260,POINT (-62.841126 8.259073)
1020,P100000121176,Sinobras Marabá steel plant,Usina Siderúrgica Sinobras Marabá,,,Siderurgica Norte Brasil SA,Siderúrgica Norte Brasil,E100001012180,4298261315,,WMA Participacoes SA [80.0%]; Aço Cearense Industrial Ltda [20.0%],E100001012181 [80.0%]; E100001012182 [20.0%],5043321788 [80.0%]; 4298254930 [20.0%],"Rodovia Gov. Augusto Montenegro, 6014, Distrito Industrial",,Marabá,Pará,Brazil,Central & South America,"-5.4142870, -49.0813050",exact,https://www.gem.wiki/Sinobras_Marabá_steel_plant,19,unknown,unknown,2007,unknown,unknown,unknown,,83.0,,,"semi-finished, finished rolled","billet, rebar, mesh, wire",building and infrastructure,1300,unknown,unknown,no,BF; EAF; BOF,unknown,Carajás mine,unknown,-5.414287,-49.081305,19.0,83.0,-5.4142870,-49.0813050,POINT (-49.081305 -5.414287)
1022,P100000120598,Sirjan Iranian Steel Kerman Plant,شرکت فولاد سیرجان ایرانیان,"Sirjan Steel, SISCO, Sirjan Bardsir",جتمع فولاد بردسیر,Iranian Sirjan Steel Co,,E100001012066,unknown,,Mabna Khavar Miyaneh Co; Pars Aryan Investment Co; Pasargad Arzesh Afarinan Co; Rahbord Sarmaye Iranian Co; small shareholder(s); Tejarat Pishegan Mihan Negar Pars Co,E100002020859; E100001015720; E100001015719; E100002020860; E100001015587; E100002020861,unknown; 5086606640; 5039187251; unknown; unknown; unknown,"Kerman, Bardsir Road, 7 km of Negar Road, Iran",,Bardsir,Kerman,Iran,Middle East,"29.9280620, 56.7365390",exact,https://www.gem.wiki/Sirjan_Iranian_Steel_Kerman_Plant,13,unknown,unknown,2013,unknown,unknown,unknown,,,,2500.0,"crude, semi-finished","ingot, DRI, sinter, pellets, billet",unknown,800,2022,2022,no,DRI; EAF,"Due to consistent problems with electricity supply, they are constructing their own power plant on site, 100 MW to start but could expand to 400","Gol Gohar Mine 2 and 4, also 6 when it opens",unknown,29.928062,56.736539,13.0,2500.0,29.9280620,56.7365390,POINT (56.736539 29.928062)
1055,P100000120449,Suez Steel Solb Misr Attaka plant,SSC,"Suez Steel Company, Solb Misr",مجمع سويس للصلب,Suez Steel Company SAE,,E100000130838,4297620530,,LITAT Holding Co Ltd,E100001016170,4297697038,Hurgada - Al Ismaileya Road,,Attaka,Suez,Egypt,Africa,"29.9278750, 32.4377440",exact,https://www.gem.wiki/Suez_Steel_Solb_Misr_Attaka_plant,26,unknown,unknown,2000,unknown,unknown,unknown,,,,5000.0,"semi-finished, finished rolled","slab, rebar, billet, coil, spool, beam",unknown,1500,yes,yes,no,DRI; EAF,unknown,unknown,unknown,29.927875,32.437744,26.0,5000.0,29.9278750,32.4377440,POINT (32.437744 29.927875)
1056,P100000120032,Sulb Bahrain Al Hidd steel plant,شركة صلب,,,Sulb Company BSCC,,E100000131139,5000674578,Partial,Yamato Kogyo Co Ltd [49.0%]; Gulf Investment Corp [25.5%]; Industries Qatar QPSC [12.8%]; Gulf Cables & Electrical Industries Co KSC [5.1%]; National Industries Group Holding KSCP [5.1%]; Kuwait Foundry Company KSCP [2.6%],E100001010196 [49.0%]; E100000000675 [25.5%]; E100000000840 [12.8%]; E100001016326 [5.1%]; E100001016328 [5.1%]; E100001016329 [2.6%],4295878941 [49.0%]; 4296426443 [25.5%]; 4295886945 [12.8%]; 4295882869 [5.1%]; 4295882834 [5.1%]; 4295882899 [2.6%],"Al Hidd, Bahrain",,Al Hidd,Muharraq,Bahrain,Middle East,"26.1981520, 50.6798930",exact,https://www.gem.wiki/Sulb_Bahrain_Al_Hidd_steel_plant,14,2009,unknown,2012,unknown,unknown,unknown,,,,12000.0,"crude, semi-finished, finished rolled","sheet, columns, bar, DRI, billet, channel, angle, beam","automotive, building and infrastructure, energy, transport",unknown,2022,2022,no,DRI; EAF,New 123 MW largest rooftop solar power project in the world,unknown,unknown,26.198152,50.679893,14.0,12000.0,26.1981520,50.6798930,POINT (50.679893 26.198152)
1058,P100000120575,Sunflag Iron and Steel plant,,,,Sunflag Iron and Steel Co Ltd,,E100001000589,4295872653,,Sunflag Iron and Steel Co Ltd [100.0%],E100001000589 [100.0%],4295872653 [100.0%],"441906 Bhandara Road, Warthi, Maharashtra, India",,Warthi,Maharashtra,India,Asia Pacific,"21.2329290, 79.6323980",exact,https://www.gem.wiki/Sunflag_Iron_and_Steel_plant,37,unknown,unknown,1989,unknown,unknown,unknown,,364.0,,,"crude, semi-finished, finished rolled","ingot, bar, billet, coil, pig iron, DRI","automotive, tools and machinery, transport",2691,2022,unknown,no,BF; DRI; EAF; IF; Steel other/unspecified,30 MW captive power plant,LMEL,Captive mines,21.232929,79.632398,37.0,364.0,21.2329290,79.6323980,POINT (79.632398 21.232929)
1059,P100001025670,Surjagad Ispat Gadchiroli steel plant,,,,Surjagad Ispat Pvt Ltd,,E100002004790,unknown,,Surjagad Ispat Pvt Ltd [100.0%],E100002004790 [100.0%],unknown [100.0%],unknown,,Aheri,Maharashtra,India,Asia Pacific,"19.4872010, 79.9685510",approximate,https://www.gem.wiki/Surjagad_Ispat_Gadchiroli_steel_plant,0,2022,2024-07-17 00:00:00,2026,unknown,unknown,unknown,,,,1200.0,finished rolled,wire rod,unknown,unknown,unknown,unknown,no,DRI; IF; Steel other/unspecified,120 MW CPP,Surajgad mines,unknown,19.487201,79.968551,0.0,1200.0,19.4872010,79.9685510,POINT (79.968551 19.487201)
1060,P100000121193,Swadesh Metallics Simga steel plant,,,,Swadesh Metallics Pvt Ltd,,E100001012071,5087130764,,Swadesh Metallics Pvt Ltd [100.0%],E100001012071 [100.0%],5087130764 [100.0%],"Village-Kesda, Tehsil Simga, District- Balodabazar- Bhatapara, Chhattisgarh, India",,Simga,Chhattisgarh,India,Asia Pacific,"21.6257060, 81.7052540",approximate,https://www.gem.wiki/Swadesh_Metallics_Simga_steel_plant,unknown,2021,unknown,unknown,unknown,unknown,unknown,,400.0,,600.0,finished rolled,"pipe, bar",building and infrastructure,1900,unknown,unknown,no,BF; DRI; IF,97 MW Captive Power Plant,unknown,unknown,21.625706,81.705254,,1000.0,21.6257060,81.7052540,POINT (81.705254 21.625706)
1065,P100000120146,Tangshan Donghai Iron and Steel Group Co Ltd,唐山东海钢铁集团有限公司,,,Tangshan Donghai Iron and Steel Group Co Ltd,唐山东海钢铁集团有限公司,E100000123219,unknown,,Tangshan Donghai Iron and Steel Group Co Ltd [100.0%],E100000123219 [100.0%],unknown [100.0%],"National Highway 205, Luan County, Tangshan City, Hebei Province",河北省唐山市滦县205国道,Tangshan,Hebei,China,Asia Pacific,"39.7483730, 118.6247940",exact,https://www.gem.wiki/Tangshan_Donghai_Iron_and_Steel_Group_Co_Ltd,23,unknown,unknown,2003,unknown,unknown,unknown,,,,1200.0,"semi-finished, finished rolled","galvanized, strip, billet, hot rolled, wire",unknown,4318,2022-11-24 00:00:00,2024-12-25 00:00:00,no,BF; BOF,unknown,unknown,unknown,39.748373,118.624794,23.0,1200.0,39.7483730,118.6247940,POINT (118.624794 39.748373)
1067,P100000120128,Tangshan Fengnan District Jing an Iron and Steel Co Ltd,唐山市丰南区经安钢铁集团有限公司,"Fengnan City Beiyang Iron and Steel Co., Ltd., Tangshan Fengnan District Beiyang Iron and Steel Co., Ltd.","唐山市丰南区经安钢铁有限公司, 唐山市丰南区北阳钢铁有限公司, 丰南市北阳钢铁有限公司",Tangshan Fengnan District Jing'an Iron and Steel Co Ltd,唐山市丰南区经安钢铁有限公司,E100001010698,unknown,,Tangshan Fengnan District Jing'an Iron and Steel Co Ltd [100.0%],E100001010698 [100.0%],unknown [100.0%],"North side of Qianying Mine, Qianying Town, Fengnan District, Tangshan City, Hebei Province",河北省唐山市丰南区钱营镇钱营矿北侧,Tangshan,Hebei,China,Asia Pacific,"39.6009560, 118.3587260",exact,https://www.gem.wiki/Tangshan_Fengnan_District_Jing_an_Iron_and_Steel_Co_Ltd,24,unknown,unknown,2002,unknown,unknown,unknown,,6000.0,1100.0,1200.0,"semi-finished, finished rolled","round bar, rebar, h-beam, strip",unknown,2647,no,no,no,BF; BOF,Self-owned Power Generation units-10 megawatts and 15 megawatts each 1 set,unknown,unknown,39.600956,118.358726,24.0,8300.0,39.6009560,118.3587260,POINT (118.358726 39.600956)
1069,P100000120118,Tangshan Ganglu Iron and Steel Co Ltd,唐山港陆钢铁有限公司,,,Tangshan Ganglu Iron & Steel Co Ltd,唐山港陆钢铁有限公司,E100000123206,unknown,,Guotao Co Ltd (Hong Kong) [76.3%]; Yushan (Beijing) Metallurgical Investment Co Ltd [23.7%],E100000125875 [76.3%]; E100000123550 [23.7%],unknown [76.3%]; unknown [23.7%],"Yangjiazhuang Village, South of Bangkuan Road, Cuijiazhuang Township, Zunhua City, Tangshan City, Hebei Province",河北省唐山市遵化市崔家庄乡邦宽公路南侧杨家庄村,Tangshan,Hebei,China,Asia Pacific,"40.1839130, 118.0739130",exact,https://www.gem.wiki/Tangshan_Ganglu_Iron_and_Steel_Co_Ltd,24,unknown,unknown,2002,unknown,unknown,unknown,,4956.0,,1495.0,finished rolled,"spring steel, sheet, cold rolled, coil, billet",tools and machinery,6186,2023-10-08 00:00:00,2023-10-08 00:00:00,no,BF; BOF,unknown,unknown,unknown,40.183913,118.073913,24.0,6451.0,40.1839130,118.0739130,POINT (118.073913 40.183913)
1070,P100000120379,Tangshan Guotang Steel Co Ltd,唐山国堂钢铁有限公司,,,Tangshan Guotang Steel Co Ltd,唐山国堂钢铁有限公司,E100000126511,unknown,,Guotao Co Ltd (Hong Kong) [61.0%]; Tangshan GUOYI SPECIAL Steel Co Ltd [20.0%]; Yushan (Beijing) Metallurgical Investment Co Ltd [19.0%],E100000125875 [61.0%]; E100000126403 [20.0%]; E100000123550 [19.0%],unknown [61.0%]; unknown [20.0%]; unknown [19.0%],"Economic Development District, Leting City, Hebei Province",河北省乐亭市经济开发区,Laoting,Hebei,China,Asia Pacific,"39.2931470, 119.0469720",exact,https://www.gem.wiki/Tangshan_Guotang_Steel_Co_Ltd,4,2021,2022,2022,unknown,unknown,unknown,,4750.0,1760.0,1200.0,unknown,unknown,unknown,3639,2024-04-19 00:00:00,2024-04-19 00:00:00,no,BF; BOF,unknown,unknown,unknown,39.293147,119.046972,4.0,7710.0,39.2931470,119.0469720,POINT (119.046972 39.293147)
1077,P100000120109,Tangshan Ruifeng Iron and Steel Group Co Ltd,唐山瑞丰钢铁(集团)有限公司,,,Tangshan RUIFENG Steel and Iron (GROUP) Co Ltd,唐山瑞丰钢铁（集团）有限公司,E100000123207,unknown,,Tangshan RUIFENG Steel and Iron (GROUP) Co Ltd [100.0%],E100000123207 [100.0%],unknown [100.0%],"Guzhuang, Xiaoji Town, Fengnan District, Tangshan City, Hebei Province",河北省唐山市丰南区小集镇古庄,Tangshan,Hebei,China,Asia Pacific,"39.4974720, 118.2720560",exact,https://www.gem.wiki/Tangshan_Ruifeng_Iron_and_Steel_Group_Co_Ltd,24,unknown,unknown,2002,unknown,unknown,unknown,,9300.0,,,finished rolled,strip,"automotive, building and infrastructure, tools and machinery, transport",5926,2024-04-24 00:00:00,2025-04-02 00:00:00,no,BF; BOF,145MW Supercritical Gas Power Generation,unknown,unknown,39.497472,118.272056,24.0,9300.0,39.4974720,118.2720560,POINT (118.272056 39.497472)
1087,P100000120546,Tata Metaliks Kharagpur steel plant,,Tata Korf Metal,,Tata Metaliks Ltd,,E100000130700,4295872473,,Tata Metaliks Ltd [100.0%],E100000130700 [100.0%],4295872473 [100.0%],"PO: Samraipur, Gokulpur, Kharagpur, Dist: Paschim Mednipur, West Bengal, India",,Kharagpur,West Bengal,India,Asia Pacific,"22.3856110, 87.2871790",exact,https://www.gem.wiki/Tata_Metaliks_Kharagpur_steel_plant,36,unknown,unknown,1990,unknown,unknown,unknown,,,233.0,,"crude, semi-finished","pipe, pig iron",unknown,1453,2024-08-30 00:00:00,unknown,no,BF,16.76 MW CPP,"Khonbond, Joda and Noamundi mines of TSL",Imported,22.385611,87.287179,36.0,233.0,22.3856110,87.2871790,POINT (87.287179 22.385611)
1089,P100000120535,Tata Steel Gamharia steel plant,,"Tata Sponge Iron Limited (TSIL), Usha Martin Limited (UML), Tata Steel Long Products Gamharia steel plant (predecessor), TSPL",,Tata Steel Ltd,,E100001010018,4295872420,Partial,Tata Steel Ltd [100.0%],E100001010018 [100.0%],4295872420 [100.0%],"Gamharia, Seraikela Kharsawan, Jamshedpur – 832108, India",,Jamshedpur,Jharkhand,India,Asia Pacific,"22.8128950, 86.0840220",exact,https://www.gem.wiki/Tata_Steel_Gamharia_steel_plant,55,unknown,unknown,1971,unknown,unknown,unknown,,1000.0,500.0,1200.0,finished rolled,wire rod,"automotive, building and infrastructure, energy",2287,yes,unknown,no,BF; DRI; EAF,"Two coal based captive power plants (25MW, began in 2001; 30MW, began in 2009); Two waste recovery captive power plants (30 MW DRI WHRB, began in 2012; 30MW Coke oven WHRB, began in 2013); Coal-gas hybrid captive power plant 15 MW",Tata Steel Vijay-II Mine (P100000129405); Ghatkuri iron ore mine,"Xstrata Coal Queensland Pvt. Ltd, Australia",22.812895,86.084022,55.0,2700.0,22.8128950,86.0840220,POINT (86.084022 22.812895)
1090,P100000120758,Tata Steel IJmuiden steel plant,,"IJmuiden steelworks, Koninklijke Hoogovens, Tata Steel IJmuiden bv BKG 1",,Tata Steel Ijmuiden BV,,E100001010177,5001198194,Partial,Tata Steel Ltd,E100001010018,4295872420,"Wenckebachstraat 1, 1951JZ, Velsen-Noord, Netherlands",,Velsen-Noord,North Holland,Netherlands,Europe,"52.4841180, 4.6155840",exact,https://www.gem.wiki/Tata_Steel_IJmuiden_steel_plant,108,unknown,unknown,1918,unknown,unknown,unknown,,4800.0,1800.0,4800.0,"semi-finished, finished rolled","slab, coil, strip, coated","automotive, building and infrastructure, steel packaging, tools and machinery",12299,2025-01-01 00:00:00,unknown,no,DRI; EAF; BF; BOF,Captive power plant at Vattenfall using plant's waste gases,unknown,unknown,52.484118,4.615584,108.0,11400.0,52.4841180,4.6155840,POINT (4.615584 52.484118)
1091,P100000120529,Tata Steel Jamshedpur steel plant,,TSJ,,Tata Steel Ltd,,E100001010018,4295872420,Partial,Tata Steel Ltd [100.0%],E100001010018 [100.0%],4295872420 [100.0%],"Bistupur, Jamshedpur - 831 001 Jharkhand, India",,Jamshedpur,Jharkhand,India,Asia Pacific,"22.7885980, 86.1996000",exact,https://www.gem.wiki/Tata_Steel_Jamshedpur_steel_plant,114,unknown,1907,1912,unknown,unknown,unknown,,9000.0,3400.0,8000.0,finished rolled,"tinplate, wire","automotive, building and infrastructure",32364,unknown,unknown,2025-10-27 00:00:00,BF; BOF,"By-product gas power generation, solar energy project initiated",Tata Steel Joda East Mine (P100000128477); Tata Steel Khondbond Mine (P100000128899); Tata Steel Noamundi Mine (P100000128489),unknown,22.788598,86.1996,114.0,20400.0,22.7885980,86.1996000,POINT (86.1996 22.788598)
1095,P100000120511,Tata Steel Meramandali steel plant,,"Tata Steel Angul steel plant, Bhushan Steel Ltd (BSL) (formerly), Tata Steel BSL Odisha, TSM, Tata Steel BSL Meramandali steel plant",,Tata Steel Ltd,,E100001010018,4295872420,Partial,Tata Steel Ltd [100.0%],E100001010018 [100.0%],4295872420 [100.0%],"Narendra Pur P.O. Shibapur, Meramandali, District - Dhenkanal - 759121, India",,Meramandali,Odisha,India,Asia Pacific,"20.7960530, 85.2603820",exact,https://www.gem.wiki/Tata_Steel_Meramandali_steel_plant,19,2003,unknown,2007,unknown,unknown,unknown,,8587.0,2100.0,,"semi-finished, finished rolled","pipe, cold rolled, coil, sheet",unknown,1425,yes,unknown,2026-12-18 00:00:00,BF; BOF; DRI; EAF; IF; Steel other/unspecified,Estimated overall power requirement after implementation of expansion- 1632 MW(638 MW to be met by CPP and remaining 994 MW to be drawn from theGrid),Captive iron ore mines in Odisha,imported,20.796053,85.260382,19.0,10687.0,20.7960530,85.2603820,POINT (85.260382 20.796053)
